asin,category,rating,review_title,body_en,sentiment_weak,manual_label
B0CR6BWHQN,coffee maker,1,"Turns on, doesn't brew","I just received this coffee maker in the mail last night. Was so excited to use it this morning, but when I turned it on, nothing came out. I've looked up instructions on the internet and Youtube to make sure I did it right. Multiple times, I filled it with water and grinds, turned it on, clicked the brew button, and 30 minutes later there was still no coffee. Disappointed, and a total waste of money.",negative,negative
B0FJ891D8Y,coffee maker,1,Misleading and not true to product stated,Terrible the volts on the machine is too high for uk and Irish households and the plug isn’t a three pronged plug but a two pronged one even though it says it’s for uk and Europe households so I would suggest this machine and on top of that the portafilter is quite cheap feeling aswell so I will be returning.,negative,negative
B08WSTTCMG,electric toothbrush,1,Waterpik SF-04 Sonic-Fusion 2.0 not working,"Hi sir, I received my order today, but after had charged 6 hours, it was not working. I pressed both Brush and floss button and not response at all. what should I do?",negative,negative
B0FHSC6SPM,coffee maker,1,The machine that does not work in australia,I have been unable to use the item as the power plug does not meet Australian standards in fact when Itried to use the appliance it blew the electrical fuse making it in workable. As I purchased this in good faith not knowing I could not use it I would like to request a refund of the purchase price please,negative,negative
B00X7X2KIC,notebook journal,1,falsely advertised,not the same as the picture,negative,negative
B0G11F8FHR,USB-C hub,1,Quality & design issues surfaced during usage,"August 2023 update: On the 3rd week, my 2nd unit started to blink two hard drive connections on and off with only 3 ports switched on. Therefore rating is reduced to 1 star from 2. Initially, my 2nd unit successfully wrote 350 Gb drive to drive across this hub without any buffering errors (buffering errors are what usually goes wrong in such tests). Speed was about 40 - 70 mb per second for nominally-sized files. However was unable to complete a chkdsk on a mounted drive without terminating in a unidentifiable error (again usually what happens with bad hubs). My first unit which was returned had a bad port #3 (counting from the end plugs) and was causing disk errors evident in the Windows event viewer, which actually were errors when chkdsk was used (you cannot always trust the event viewer drive errors as Windows presumes any drive is where you left it from your last Windows session, so if you move it, or it is new to the location on its USD bus, the event viewer will scream bloody murder until it learns the new location, where it will then proclaim the drive is healthy). There appears to be a design deficiency in the hub: on both units I tested, there was too much noise on the final port #10 to plug in a cam. The cam image was very noisy and unusable. Plugging in the cam at the first port works around this design problem. Apparently, there is inadequate noise containment within the hub body, and this can cause slower transfer rates for hard drives and bad images for cams. Given the wide variety of hubs and potential for hub problems, and quality variance of Asian-pacific manufacturers, I am going to keep this one. Be sure to check each port when you receive yours.",negative,negative
B0H7BR91VM,gaming chair,1,DO NOT BUY - ITS NOT AS IT IS ADVERTISED.,"We purchased this chair because it is advertised to be a gaming chair for an adult up to 400 pounds. Weighing in at 235, we figured it would be comfortable to use. IT IS HORRIBLE! Very uncomfortable. Looks pretty but it is made for a teenager, not an adult. DO NOT BUY IT! THE RETURN POLICY IS A JOKE! They want you to return it in its original packaging with no tags removed or it be used - or they can charge you up to 100% of the cost. I guess you have to decide before assembly if it will fit or be comfortable. I should have ordered a workable crystal ball. You have to buy a big box to ship it back in and you have to pay shipping. Do you know what it costs to ship something this size? We would wind up owing money instead of getting a refund. DO NOT BUY THIS FOR AN ADULT. IT IS HORRIBLE. --- There, now I am happy. I may not get my money back, but I hope this will save others from buying this falsely advertised item.",negative,negative
B0FPRHR6XZ,water bottle,1,It leaks!,Wanted something heavy duty but this leaks everytime I use it.,negative,negative
B0BKSKCYX7,sunglasses,2,Fine for the price,"These are fine for the price, but they’re definitely not polarized as advertised. I’ve had polarized glasses/lens filters before and when you tilt your head the reflections change. These don’t do that.",negative,negative
B0DWBJ6CM1,coffee maker,1,Not for use in the UK,"I should have read the reviews before I bought the Keurig coffee maker. The plug is for the USA and not UK. I am just hoping that I do not have to pay to return the product. I returned the item 9 days ago and no sign of my refund. I will be insisting on a refund to return the item as it cost me £35 to return with Parcel Force, that was the cheapest option.",negative,negative
B0FMSTSYL7,coffee maker,1,Voltage,This item is 120volt only. Not shown on Amazon site.,negative,negative
B09JYJ6JKH,wireless earbuds,2,UPDATED: Newer Version Not as Good,"UPDATE 7/2/24: Okay. I'm down to 2 stars. The newest pair of the 10 or so I've tried, lasted from February to July before the left side started to go in and out intermittently. Also, the charging port sucks, the cord will not stay in so you think it is charging and it often just comes loose and isn't. It loses connection for random reasons I don't understand, also it seems the buttons are now super sensitive as my music always gets paused randomly - from my cheek or my neck moving? I think it is time for me to move on from my favorite headphones and I will not be buying another pair. UPDATE 01/17/24: Look, I tried other headphones. I don't want to spend a lot but even if I do, I'm usually not happy. I tried different Bluetooth ones and they fall off my head easily or irritate me. I had a popular brand of one type and was walking through the park one day, and BAM suddenly they were gone! I never even felt them leave my body and I looked everywhere for them. They were decent. At that point, I came crawling back to these headphones. I missed them. I bought them again, and as soon as that high-quality, loud, bass-filled sound hit my ears I was nearly in tears. The long charge. They sit on my neck, noticeably yes, but I know I won't lose them easily either. Stars up again. I just can't quit them. UPDATE 6/10/23: I bought a new set recently, and the newer model seems way worse than the previous one. It constantly disconnects from Bluetooth on its own, has a shorter range than before (two rooms away from music source and loses quality when I could go much further before), and when after charging, sometimes the on and off button doesn't seem to work. I have to plug it in again to get it to work. It also seems to me that the battery doesn't last as long. ************ Original Review for Previous Versions: ******************** I love these headphones so much that I've bought probably 8+ of them over the last 5+ years. But that is just it - they only seem to last about a year or so. To be fair, I wear these headphones almost all day on most days. The magnetic feature of the earbuds typically goes first, and then one side of the headphones always stops working typically. I'm gentle with them. I love how light they are, like a part of my body, and in my opinion, the sound quality is great. The fit is great. I just wish I didn't have to buy new ones every year. Last time I even bought 2 at once to alternate them, hoping they would last a bit longer, but it didn't make much difference. Also, it is hard to know when they're turned off or on (used to love it when it was a switch type button rather than a hold-down type) so often battery will die even quicker.",negative,negative
B0CJHZ92P6,webcam HD,1,"Don‘t buy, bad quality and fr away from what promised","They promise a lot with this webcam and the quality was just bad. And as I had to use it to figure that out, I just got 50% refund from them as it was used + I had to pay the return shipment. Don‘t waste your money and time with this product and the seller!",negative,negative
B0F2G217VL,sneakers,1,Less than paper thin,"These are SUPER THIN!!! Like paper thin. Yes, they are supposed to be breathable, light weight, but not this thin. When tightening the laces the holes where the laces are almost ripped. Would not recommend unless you needed a pair of cheap shoes to do a mud run, and didn't care if the shoes survived or not.",negative,negative
B0D5CHZYP6,t-shirt,1,Heheh,Chinese sizes. Item not as described,negative,negative
B09J4V4XFM,yamaha acoustic guitar,1,Bad Quality,"I bought this guitar a little over a month ago. At first, I noticed a few blemishes along with the tuning peg being rusty and paid no mind. The very first time I tuned, I noticed it making pop sound for a few tuning keys and was anxious the guitar was gonna break but didn’t think much about it. I only played it a few times and picked it back up a week ago… As I tuned it again, the crack and pop sound continue to be made by the guitar, it seems to always make these sound when I tuned and the pin bridge got stuck. I could not get it back out and it broke. I’m afraid the guitar is not well built and although I considered getting parts of it refurbished at a store, I believe it would cost over than the guitar’s worth to get it all fixed. Everytime I tuned this guitar, I always get that anxiety that the crack sound is going to snap the guitar. I’m hoping to get even the slightest help over this. Please reach out, I am truly bummed about this.",negative,negative
B0H39G9P1K,DSLR camera,2,Zbyt prosty,"The backpack is very simple, too simple, no pockets for accessories, very thin and flimsy. It looks cheap and unreliable. The only advantage is that it is actually very light.",negative,negative
B0F3HVY1JY,t-shirt,1,Pésima calidad,"Tomorrow quality, super hard fabric, size does not match, they come very small, when you want to return they charge you more than the product. There is no support from the supplier or Amazon",negative,negative
B0CBLY5GWQ,water bottle,1,Worst,Easily breakable,negative,negative
B07PBS21V8,wireless earbuds,1,Would not recommend,"Bought these for Teams Meeting calls so I dont have to keep switching headphones or annoying my co-workers or family. You get what you pay for and then still feel kinda ripped off. OVERALL: If you dont care about sound quality, buzzing in ear, ear feel and possibly falling off and dont need the mic, these are fine for 22$ I guess. Anything more than that and I would recommend going to the 40-60$ range or just go the full 100-150$ near the raycon area. (Will update with battery life when I test that out). SOUND QUALITY - TERRIBLE - Even before any audio comes in there is a high pitched buzzing. Eventually it stops, maybe, or I tune it out. If youre audio is loud enough, it will drown out the buzzing. On Teams Meetings, the audio was absolutely terrible. While I can understand what my co-workers are saying, it was the worst sound quality I have heard in my life. EAR FEEL QUALITY - BAD - These do not feel good on/in the ear. Hard rubber, weird feel to the hand, and my not fit too well over the ear unless you have HUGE ears. Would not use for extended periods or active movement. There are replacement earbud rubbers but they still have the same weird feel and hard center. MICROPHONE QUALITY - BAD - They say the closer you are to the device the better the quality.... No, I was maybe 2 inches away from my computer in a quiet room and they barely picked up. I will just use the microphone on the laptop instead. OTHER: micro USB cord - Short also microUSB Carrying case - Meh 10% Off Coupon if you register. 1 year free warranty. LED Indicator not really indicating - Blinks red and blue when pairing, red when charging, is supposed to stay blue when fully charged but just turns off so I'm unsure if its fully charged or just decided to not?",negative,negative
B0H41M8Z7G,desk lamp LED,2,"Too short, clunky to handle, and shines right in your eyes.","Decent light-wise, but it's pretty clobhoppy, awkward to handle, and difficult to place where you actually need it. Worse, it's far too short to illuminate your desk without shining directly into your eyes. If you raise or tilt it up to cut down on the blinding glare, it completely misses lighting up your workspace. It really needs a taller, more flexible pole design to be functional as both a desk lamp and a video light.",negative,negative
B0F4MZBZRH,wireless earbuds,2,Bad sound quality,"Sounds tinny, no base, wouldn’t recommend",negative,negative
B0BVCXZL45,candle,2,Objective to all but I don’t enjoy the scent,Small and expensive but not a smell I enjoy.,negative,negative
B084TM4XKG,electric toothbrush,1,not fit for purpose outside of US - incorrect plug,This is a US product and has a US plug - you are expected to provide a plug adapter - should not be allowed to sell in Singapore,negative,negative
B0FLDWKJDM,phone case,2,Naw. I’ll pass,Looked cheap. I returned it,negative,negative
B0CP8QM3R1,electric toothbrush,1,Garantie,Please note this product is not guaranteed!,negative,negative
B0H45CW221,kitchen knife set,1,1 star set,"I bought this as a housewarming gift and it turned out to be a huge mistake. The outer box arrived dented and beat‑up right out of delivery. The knives felt sharp at first, but they dulled super fast after minimal use. Cutting soft tomatoes is already a struggle. Some blades have tiny rough burrs along the edge. There is no proper block for storage either. Embarrassing to give this as a gift. Complete garbage for the price. Stay far away.",negative,negative
B0BP69FS5K,electric toothbrush,1,Good when new but only lasted 8 months,"Toothbrush was good initially, but about 8 months, it now cannot charge at all! Totally rubbish.",negative,negative
B09F5XQDYJ,notebook journal,1,No guarantee of getting the product,No pen. No box. Do not waste your time getting this.,negative,negative
B0B5YPZS45,electric toothbrush,1,Battery is not working within a few months,Battery is not working within a few months,negative,negative
B0CWS28VK1,notebook journal,2,THESE AREN'T REGULAR MEAD 5STAR NOTEBOOKS!,"THESE AREN'T NORMAL MEAD 5STAR NOTEBOOKS, the sort you've been buying forever. These notebooks have strange extra markings on every page, both sides, and access to some sort of app. If you're expecting just normal plain lined punched pages, this ain't it! Look at photos before you buy!",negative,negative
B09TQLWNL1,sunglasses,1,"Yeah, this ain't it. Real review right here.","I wear Maui Jim's, Smiths, and Suncloud (also by Smith). I am used to high quality lenses, but I've always thought that ""high quality"" lenses were fairly common and easy to make, and I was just aa brand snob. These look exactly like Maui Jim's. I want a new style so... Ordered them. The fit: great. The wright: great. They feel durable. They feel comfortable. The style is great. The lenses: useless and I would honestly say no chance I'd wear these sunglasses. Literally zero chance. Why? 1. Put these on and look at a regular light bulb. Any light bulb at home. You'll see three images of that light bulb, one to the left which is faint, one to the right which is faint, and the bulb itself in the middle. Not joking. It's as if there is a ""glare"". This is because the lenses are not perfect thickness and magnification, and the lens coating are layered poorly (I am guessing here). Put on a pair of Maui Jim's (or other high end brand) and you'll see just one light bulb. I'm not making this up. Try it. This will affect everything you look at, brighter objects more. 2. Look at these glasses while wearing high end glasses. You'll see the polarization film -- especially around the bridge and arms. Now, look at the high end glasses through these. You wont see the polarization film (it's there, you just can't see it). High end lenses have much better and even polarization. The lenses on these glasses are simply too cheap, the flaws are really noticeable. I wish they were better, really do. I love this rimless style.",negative,negative
B0F6NFHB31,portable charger,1,Overheating immediately,"Update 6/16/26 after trying charge magsafe battery bank with ugreen retractable cable charging brick , I.noticed within 5 minutes there weird chemical burning odor coming from battery bank I immediately removed from charger . I can't recomend this battery bank but definitely big brother has 10,000 built in cable . Update 6/15/26 I had my iPhone 17 max 5 times on Air 45 minutes only once gave me 1% charge due overheating within 2-4 minutes on phone . I do have big brother 10,000 slightly get warm for me one best market that’s why bought 5,000 thought get same quality . This 5,000 get extremely hot can’t touch phone or battery bank . When charge it even 25,000 battery bank stop charging air fur temperature. I have I have Petl MagSafe circle battery bank has 3,000 none Qi2 10 wats charges iPhone 30% 45 minutes then dies without get extremely hot warm yes . Regards air 5,000 don’t believe this Qi2 get too hot . I have ugreen Qi2.2 which brick one reason don’t use it much and ugreen air 10,000 working amazing . My opinion if need charger that’s fast wireless and wired go for 10,000 and won’t get hot I contacted ugreen no response yet . Only positive have 5,000 magnets extremely strong all ugreen MagSafes , slim light but honestly doesn’t work Apple forces battery bank turn off almost immediately. Pro’s very thin and light, Magnets very strong . Con’s First want say I own 10,000 Igreen Magflow Air 10,000 which is amazing . The 5,000 version has overheating issue within 2 minutes use starts overheating and turns off automatically and only charged 2% in 45 minute and 10,000 charges iPhone 17max 33% 45 minutes . The main reason returning overheating within few minutes . MagSafe gets hotter my stovetop.",negative,negative
B075F394ZS,candle,1,Doesn’t leave a scent,"For the price, I thought it would leave a noticeable scent in the room. It doesn’t have any scent at all… even after burning for hours. Honestly, I don’t think it was worth the investment.",negative,negative
B0GJ5HHTJT,monitor 27 inch,1,Broke within 45 days - Weird lines appear all across the monitor,A weird vertical and horizontal line appeared after about 45 days of usage.It's stuck on the monitor and can't be removed. I contacted the manufacturer months ago and haven't heard back. Now I'm stuck with a broken monitor. Save your money and avoid this monitor and company.,negative,negative
B08VJ25PL1,webcam HD,1,Not good with macs,"Not really that good. Connected it to a Mac laprop. picture is average, mic is laggy and cuts and often has delays on video calls. And no it's not my internet, which is quite good and I don't have any issues when using my laptop mic. It has gotten to the point where I can't use it to have a proper conversation",negative,negative
B0GS5QKBP2,gaming chair,1,DO NOT PURCHASE,Arrived broken! Horrible quality,negative,negative
B0BY27XSJ3,USB-C hub,1,Be aware of bad units being sold right now.,"DO NOT BUY THIS!! These USED to be a 5 star product from me, I've lost count how many I have purchased and included built into my products I manufacture. All of 2025 NO ISSUES at all, battle tested in the photo event industry buy some very large companies I have as clients. Come 2026 and the last two batch orders I have purchased I have had to replace 10 of them within a 2 month window, all for different customers because they stopped working in a short amount of time. Something happened in the Belkin manufacturing of these hubs in the past 3 months and I have lost my confidence in the stock that is available right now, I have moved to another HUB manufacturer for my products. I even tried calling Belkin quietly to make them aware of this issue and could not get anyone who cared that they had bad units being sold. So now it's to be very public about this issue and to let people know to be aware there ARE bad units in circulation of these hubs. ALWAYS have a backup on hand just in case! Sorry Belkin, you need to have a better process to receive feedback from other manufacturers that use your products in theirs. I hope I can regain confidence again someday.",negative,negative
B0FPRHR6XZ,water bottle,1,Wouldn’t Recommend,"We got this for usage in the car as it fits perfectly in the cup holder compartment. However the rubber that should prevent the water from leaking, gets shifted everytime it’s opened to be refilled. You can’t tell till it leaks. I’m just thankful we’ve always had only water in them for sweet drinks leaking anywhere is a disaster to clean up.",negative,negative
B0DLN1G7G6,candle,1,Mais elle sent bonne,The candle container was all broken. I kept it the same but it's just flat,negative,negative
B0DP42G526,phone stand,2,Good,Okey type,negative,neutral
B08GL4CW3B,yamaha acoustic guitar,3,Damaged in Shipping,"This is a great amp. The tone, volume and effects are exactly what I was looking for in a small acoustic amp. My star rating is based off the shipping damage. I have kept the amp because I needed it for a show but hopefully the shipping company will ensure proper care and packaging in the future. Note: The company did offer to take it back but I wouldn’t have been able to get another soon enough.",neutral,neutral
B0BBMK7RCF,desk lamp LED,3,Power selector cracks in a few weeks.,Good light except for the power switch. After a few weeks the on and off touch switch just cracks. I had it replaced but same thing happened.,neutral,neutral
B08B12P6CS,gaming chair,3,Chaise bureau,"It is not made of real leather, it is made of synthetic leather.",neutral,negative
B0DT43NNNF,mechanical keyboard,3,Keys acting as if they are being pressed down,They keyboard is good for sure the software is pretty solid i was a little confused by some of it but im sure its a snoop more learn more kind of thing. the feel is like any keyboard youd expect the sound honestly out of any keyboard ive had its amount the best sounding pretty crisp to me. however after months i had moments it would act up pretty weird. It would act as if a key was being pressed in this case any of the wasd so it was pretty noticeable. it would only happen once in a blue moon so it didnt bother as much but now its just gotten worse. nows its starting to happen almost a few times a week. ok it just happened yo yeah im not sure if i just so happened to get a faulty one but maybe these are a few things to take into consideration,neutral,neutral
B075F394ZS,candle,3,In search of/Honest Review WAITING FOR UPDATE TO SHOW,"I’ve been on a mission to find the perfect candle I can subscribe to and have on hand at all times. Spending from $10 to north of $100, I am hoping my favorite isn’t at the high end. I try to order several at a time without reminding myself of its cost while sampling. I do this to keep an open mind and be honest with myself while my search continues. I am definitely narrowing it down and the reviews have been so helpful to me. I understand that the scent is an individual preference (that’s why I went ahead with ordering this candle.) From what I read, the smell was not what not as described, but again, I thought there was a chance I’d like it. Ugh, such a bummer because this really stinks! The candle is beautiful to look at. Packaging, presentation and protection was 100% but oh my, the scent is awful! Again, maybe it’s just not for me and I understand that, but this is the exact opposite of anything that I would ever want. The reviews I had read before were spot on. It really does smell like your grandmother’s perfume that had sat on her dresser for years. If you’re looking for a non-floral, musky, earthy scent, you simply will not find it in this. Too bad, because every single other thing about this was fantastic",neutral,neutral
B0H12BW67D,yamaha acoustic guitar,3,Won't stay tuned,It's nice but I have to tune it every time I pick it up.,neutral,neutral
B0D28Q1NFB,t-shirt,3,Useless after washing,Before washing it seemed like a great quality. It came a little dirty so I had to wash it and then I'm unable to wear it because the neck is completely loose now but other than that the quality seems well made just try not to wash it lol,neutral,neutral
B0GQBYVN9W,coffee maker,3,Large pot burns and leaks. Single cup function is great.,"I don't love this coffee maker. The burner is way too hot so if coffee is brewed and in the pot on the burner for longer than 15-20 minutes, it's so hot it will burn me. I have to leave for work and take the lid off my coffee in the car before I can even drink it. Not ideal obviously. And when there's a cup or two left on the burner, it burns in the pot and smells and tastes like nasty gas station coffee, so it's undrinkable and wasted. Also, when you pour water in using the caraffe, it doesn't just drip, it gushes out no matter how slow/fast or what the pouring angle is. I have to pour it into the machine with a towel on the counter. The single cup brewing is the part I like. I haven't tried iced coffee yet, but the instructions basically have you brewing normal coffee into a cup or the caraffe with ice in it. I guess the burner turns off for that part. It would be a really great machine without the overheating and dripping issues and now I've spend $100 buck on it and can't justify getting a new one so here we are.",neutral,negative
B0FG7Q1X5B,coffee maker,3,Hot Mess Express,"To this machine's credit, it makes coffee. It’s fast, easy to clean, and it brews from both grounds and pods. It also doesn't take up a lot of counter space. But if you’re hoping for a mess-free morning or actual iced coffee without a chemistry experiment, it might not be for you. If you’re looking for a coffee maker that brews with the intensity of a thousand suns, this one might be your new spazzy companion. The main difference between the regular and iced settings is the volume of coffee dispensed into your mug. I tested each one, and both came out hot enough to steam my glasses. Iced coffee? More like “melted hopes and dreams."" If you prefer hot coffee, it works well, but you'll need a couple ice cubes or plenty of time to allow it to cool to drinking temperature. The Bold setting promises flavor, but what it really delivers is splash zone drama. Every brew cycle left my counter looking like a caffeine crime scene. I tried adjusting cup placement, brew size, and even my expectations, none of which stopped the splatter. Overall, for the price, this appliance is a pretty good deal, but if you drink iced coffee, it's no better than a regular coffee maker. Tips: - Use a tall travel mug to contain the splash. - Let the “iced” coffee cool before pouring over ice. - Keep a towel nearby to protect your counters.",neutral,neutral
B089P1LLFS,yamaha acoustic guitar,3,Mediocre Beginner Guitar - Fit for Learning the Basics of Guitar Playing,"This guitar is good for deciding if you want to commit to learning guitar. The strings and everything work just fine, so one can learn fingerstyle playing and chords, however, the strings are rather buzzy, and in addition with a high action guitar such as this, it is harder on the fingers to play. I used this guitar frequently for about 7 months before deciding that I would like to upgrade to an actual name brand guitar (like Fender, Ibanez, or Rogue). When I would put a regular capo on any fret of the guitar, the low E bass note would become flat, however, with no capo, the string would perform just fine. I went to a guitar center to ask about it, and they hadn't even heard of this brand of guitar. Final Verdict: Yes, the guitar is good value of money if you are looking to see if a guitar would be the right pursuit for you. Looks-wise, the guitar looks nice with a mix of basic and elegant. However, I'd only recommend buying this guitar if you are looking to see if guitar is the right fit for you. If you are looking to buy a guitar that will last you a while, you are better off looking elsewhere as this guitar is better for a trial run rather than a long-term commitment.",neutral,neutral
B0GDF4PL97,coffee maker,3,Espresso,"It was defective, it would shut OFF after use. But it made a great espresso, not so good on FOAM though. :(",neutral,neutral
B0BR5JHB3Z,desk lamp LED,3,Good Lamp but Not Wireless,I could be wrong; maybe I didn’t read the product description as well as I thought or maybe I’m just dumb….but I was very disappointed to see that this is NOT a wireless lamp. I swear I looked at all the pictures for it and I read the description twice and no where did I see that it said that it’s not wireless. Which is not totally fair because that’s what my Amazon search was for: a wireless lamp. I wondered once I received the lamp is the wire was just to charge it up and then you could use it wirelessly but that isn’t the case. It’s still a nice light lamp and I appreciate how bright it can be. It’s also nice to be able to change the brightness. I’m just really disappointed by the fact that it needs to be plugged in 24/7 to work,neutral,neutral
